,BRAND,PRODUCT_NAME,COLOR,MEMORY,STAR_RATING,RATINGS,REVIEWS,RAM,BATTERY_C,SCREEN_SIZE,WARRANTY,OFFER_PRICE,DISCOUNT,MRP
85,Vivo," U10 (Thunder Black, 32 GB)",Thunder Black,32,4.4,"12,671","1,009",3,5000,6.35,1,9990,9% off,10990
86,Vivo," Y91 (Starry Black, 32 GB)",Starry Black,32,4.4,"13,988","1,037",3,4030,6.22,1,8999,18% off,10990
87,Kechaoda, K115,,,4.1,"8,743",,,850,1.44,,880,0 % off,880
88,Apple," iPhone 7 Plus (Black, 32 GB)",Black,32,4.5,"24,149","2,580",,0,5.5,1,36999,2% off,37900
89,Nokia, 105 SS,,,4.3,"61,000","6,015",,800,1.77,,1089,12% off,1249
90,Lava, A3,,,4.2,"7,093",,,1750,1.77,,1089,0 % off,1089
91,Micromax, X380,,,4,"2,102",,,2500,1.77,,771,48% off,1499
92,Vivo," V11 Pro (Starry Night Black, 64 GB)",Starry Night Black,64,4.5,"28,376","3,062",6,3400,6.41,1,14777,49% off,28990
93,POCO," X2 (Atlantis Blue, 128 GB)",Atlantis Blue,128,4.6,"35,421","4,421",6,4500,6.67,1,17999,5% off,18999
94,Apple," iPhone 7 (Black, 32 GB)",Black,32,4.5,"86,163","8,695",,0,4.7,1,29499,1% off,29900
95,Realme," X2 (Pearl Green, 128 GB)",Pearl Green,128,4.5,"26,377","3,115",8,4000,6.4,1,20999,0 % off,20999
96,Realme," 3i (Diamond Black, 32 GB)",Diamond Black,32,4.4,"2,73,695","25,063",3,4230,6.22,1,8499,5% off,8999
97,Realme," 3i (Diamond Black, 64 GB)",Diamond Black,64,4.4,"70,113","6,104",4,4230,6.22,1,10499,4% off,10999
98,Realme," 3i (Diamond Blue, 32 GB)",Diamond Blue,32,4.4,"2,73,695","25,063",3,4230,6.22,1,8499,5% off,8999
99,Redmi," Note 7 Pro (Nebula Red, 64 GB)",Nebula Red,64,4.5,"2,54,287","21,628",6,4000,6.3,1,12999,23% off,16999
