,BRAND,PRODUCT_NAME,COLOR,MEMORY,STAR_RATING,RATINGS,REVIEWS,RAM,BATTERY_C,SCREEN_SIZE,WARRANTY,OFFER_PRICE,DISCOUNT,MRP
260,I, Kall K20 New,No Color,0,3.5,1715,0,0.0,1000.0,1.8,1.0,649,0 % off,649
261,Samsung, Guru 1200,No Color,0,4.3,120586,11639,0.0,800.0,1.5,1.0,1346,4% off,1410
262,Asus," ZenFone Max M2 (Black, 32 GB)",Black,32,4.3,98675,11987,3.0,4000.0,6.26,1.0,7499,42% off,12999
263,Vivo," Y17 (Mystic Purple, 128 GB)",Mystic Purple,128,4.4,11062,0,4.0,5000.0,6.35,1.0,13690,27% off,18990
264,Redmi," 7A (Matte Blue, 16 GB)",Matte Blue,16,4.3,350818,26616,2.0,4000.0,5.45,2.0,6499,0 % off,6499
265,Samsung," Galaxy S10 Lite (Prism Blue, 128 GB)",Prism Blue,128,4.5,4920,1423,8.0,4500.0,6.7,1.0,42099,4% off,43999
266,I, Kall K50,No Color,0,3.8,1461,0,0.0,0.0,2.8,1.0,799,38% off,1299
267,Apple," iPhone 11 (Red, 64 GB)",Red,64,4.7,10800,0,0.0,0.0,6.1,1.0,68300,0 % off,68300
268,Honor," 10 Lite (Sky Blue, 64 GB)",Sky Blue,64,4.4,13378,1291,6.0,3400.0,6.21,1.0,12199,35% off,18999
269,Mobiistar," X1 Dual (Black, 32 GB)",Black,32,3.8,0,0,3.0,3000.0,5.7,1.0,6690,0 % off,6690
270,Karbonn, K9 Staar,No Color,0,3.8,5823,0,0.0,1000.0,2.4,1.0,999,0 % off,999
271,Samsung, Guru FM Plus,No Color,0,4.2,15771,1595,0.0,800.0,1.5,1.0,1548,8% off,1699
272,I, Kall K3310,No Color,0,3.7,50580,6547,0.0,1000.0,1.8,1.0,699,0 % off,699
273,Samsung," Galaxy S20+ (Cosmic Black, 128 GB)",Cosmic Black,128,4.8,0,0,8.0,4500.0,6.7,1.0,77900,6% off,83000
274,Lenovo," X2-AP (Gold, 32 GB)",Gold,32,3.7,3560,0,2.0,2300.0,4.025985185185214,1.0,17499,0 % off,17499
275,Itel, it5260,No Color,0,4.5,0,0,0.0,1900.0,2.4,1.0,1269,20% off,1590
276,I, Kall K20 New Combo of Two Mobiles,No Color,0,3.4,0,0,0.0,1000.0,1.8,1.0,1199,0 % off,1199
277,Itel, Power 400,No Color,0,4.1,0,0,0.0,2500.0,2.4,1.0,1135,29% off,1599
278,itel, it5617,No Color,0,3.8,0,0,0.0,2500.0,2.4,1.0,1222,0 % off,1222
279,Fox, 24 Karat Gold,No Color,0,3.7,0,0,0.0,1500.0,2.4,1.0,649,0 % off,649
280,Kechaoda, A27,No Color,0,4.1,1142,0,0.0,800.0,0.66,1.0,910,0 % off,910
281,Fox, Sultan,No Color,0,3.9,0,0,0.0,2500.0,2.4,1.0,1099,0 % off,1099
282,Redmi," Note 7S (Sapphire Blue, 32 GB)",Sapphire Blue,32,4.4,289587,26829,3.0,4000.0,6.3,1.0,9999,16% off,11999
283,OPPO," K1 (Piano Black, 64 GB)",Piano Black,64,4.4,71770,7485,4.0,3600.0,6.41,1.0,14990,21% off,18990
284,Kechaoda, K10,No Color,0,4.0,4686,0,0.0,300.0,0.66,1.0,999,0 % off,999
285,Kechaoda, K10,No Color,0,4.0,4686,0,0.0,300.0,0.66,1.0,999,16% off,1199
286,iQOO," 3 (Quantum Silver, 128 GB)",Quantum Silver,128,4.5,0,0,8.0,4440.0,6.44,1.0,38990,0 % off,38990
287,I, Kall K14 New,No Color,0,3.5,6681,0,0.0,800.0,1.8,1.0,599,4% off,599
288,Karbonn, KX23,No Color,0,3.9,0,0,0.0,1900.0,2.4,1.0,1039,30% off,1490
289,Karbonn, KX23,No Color,0,3.9,0,0,0.0,1900.0,2.4,1.0,1041,30% off,1499
290,Realme," X2 Pro (Neptune Blue, 128 GB)",Neptune Blue,128,4.6,7836,1268,8.0,4000.0,6.5,1.0,31999,0 % off,31999
291,Realme," X2 Pro (Neptune Blue, 256 GB)",Neptune Blue,256,4.6,4355,0,12.0,4000.0,6.5,1.0,35999,0 % off,35999
292,Realme," X2 Pro (Lunar White, 128 GB)",Lunar White,128,4.6,7836,1268,8.0,4000.0,6.5,1.0,31999,0 % off,31999
293,Realme," X2 Pro (Lunar White, 64 GB)",Lunar White,64,4.5,0,0,6.0,4000.0,6.5,1.0,29999,0 % off,29999
294,Realme," X2 Pro (Neptune Blue, 64 GB)",Neptune Blue,64,4.5,0,0,6.0,4000.0,6.5,1.0,29999,0 % off,29999
295,Samsung," Galaxy S10 Lite (Prism White, 128 GB)",Prism White,128,4.5,4920,1423,8.0,4500.0,6.7,1.0,42099,4% off,43999
296,Tecno," Spark 4 Air (Nebula Black, 32 GB)",Nebula Black,32,4.2,0,0,3.0,3000.0,6.1,1.0,7990,0 % off,7990
297,Redmi," Note 6 Pro (Black, 64 GB)",Black,64,4.5,116587,10378,6.0,4000.0,6.26,1.0,11999,33% off,17999
298,Apple," iPhone 7 (Rose Gold, 32 GB)",Rose Gold,32,4.5,86163,8695,0.0,0.0,4.7,1.0,29499,1% off,29900
299,Karbonn, K2 Boom Box,No Color,0,3.9,5922,0,0.0,1000.0,1.8,1.0,683,31% off,683
300,Asus," ZenFone Max M2 (Black, 64 GB)",Black,64,4.3,24208,2482,4.0,4000.0,6.26,1.0,8999,40% off,14999
301,Lava," Z71 (Ruby Red, 32 GB)",Ruby Red,32,3.8,0,0,2.0,3200.0,5.71,1.0,6299,10% off,6999
302,Gfive, U229,No Color,0,3.7,1497,0,0.0,1000.0,1.8,1.0,629,42% off,1099
303,Gfive, U229,No Color,0,3.7,1497,0,0.0,1000.0,1.8,1.0,499,54% off,1099
304,Philips, Xenium E168,No Color,0,4.0,1189,0,0.0,1600.0,2.4,1.0,1499,0 % off,1499
305,Apple," iPhone XR (Coral, 128 GB)",Coral,128,4.6,8780,0,0.0,0.0,6.1,1.0,57800,0 % off,57800
306,Fox, Bolt FX241,No Color,0,3.7,2720,0,0.0,1800.0,2.4,1.0,699,0 % off,699
307,Lenovo," A6 Note (Black, 32 GB)",Black,32,4.1,15050,1511,3.0,4000.0,6.087999999999999,1.0,6999,30% off,9999
308,I, Kall K43,No Color,0,3.7,0,0,0.0,800.0,1.8,1.0,570,36% off,570
309,Itel, Muzik 400,No Color,0,4.1,0,0,0.0,3000.0,2.4,1.0,1338,14% off,1569
310,I, Kall I KALL K2180 Red,No Color,0,3.8,4751,0,0.0,1000.0,1.8,1.0,649,0 % off,649
311,I, Kall K88,No Color,0,3.3,5788,0,0.0,1000.0,1.8,1.0,649,0 % off,649
312,Gfive, Classic,No Color,0,3.6,0,0,0.0,1050.0,1.8,1.0,625,21% off,625
313,Realme," C2 (Diamond Blue, 16 GB)",Diamond Blue,16,4.4,731211,63035,2.0,4000.0,6.1,1.0,6499,7% off,6999
314,I, Kall K24 New Combo of Two Mobiles,No Color,0,3.6,0,0,0.0,1000.0,1.8,1.0,1199,20% off,1499
315,I, Kall K6303,No Color,0,3.7,6674,0,0.0,1800.0,2.4,1.0,799,0 % off,799
316,I, Kall K6303,No Color,0,3.7,6674,0,0.0,1800.0,2.4,1.0,799,20% off,799
317,Kechaoda, K115,No Color,0,4.1,8743,0,0.0,850.0,1.44,1.0,880,41% off,1499
318,Forme, F Fone with Secondary Camera,No Color,0,3.7,0,0,0.0,1500.0,2.4,1.0,899,0 % off,899
319,Lava, One,No Color,0,4.1,5976,0,0.0,1000.0,2.4,1.0,1269,20% off,1600
320,Muphone, M330,No Color,0,3.9,0,0,0.0,1700.0,2.8,1.0,1289,0 % off,1289
321,vivo," U20 (Blaze blue, 64 GB)",Blaze blue,64,4.0,0,0,6.0,5000.0,6.53,1.0,12990,13% off,14990
322,Itel, It 5605n,No Color,0,4.2,0,0,0.0,2500.0,1.77,1.0,980,20% off,1225
323,GLX, W8,No Color,0,3.8,0,0,0.0,950.0,1.8,1.0,639,0 % off,639
324,I, Kall K27 New,No Color,0,3.5,0,0,0.0,800.0,1.8,1.0,649,18% off,649
325,Karbonn, K451 Power,No Color,0,3.8,3638,0,0.0,3000.0,2.4,1.0,1013,36% off,1585
326,Micromax, X744,No Color,0,3.9,1169,0,0.0,2200.0,2.4,1.0,949,62% off,2499
327,Karbonn, KX2,No Color,0,3.8,0,0,0.0,1000.0,1.8,1.0,799,20% off,799
328,Intex, Turbo 108,No Color,0,3.9,0,0,0.0,1050.0,2.4,1.0,911,31% off,1332
329,Fox, Sultan,No Color,0,3.9,0,0,0.0,2500.0,2.4,1.0,1099,0 % off,1099
330,Fox, Sultan,No Color,0,3.9,0,0,0.0,2500.0,2.4,1.0,999,9% off,1099
331,Kara, Elight,No Color,0,3.7,0,0,0.0,1350.0,1.8,1.0,699,0 % off,699
332,Kara, Elight,No Color,0,3.7,0,0,0.0,1350.0,1.8,1.0,679,0 % off,679
333,BlackBear, C99 Marathon,No Color,0,3.8,0,0,0.0,3000.0,2.4,1.0,1289,0 % off,1289
334,I, Kall K5310,No Color,0,3.5,8011,0,0.0,1000.0,1.8,1.0,649,0 % off,649
335,I, Kall K5310,No Color,0,3.5,8011,0,0.0,1000.0,1.8,1.0,649,0 % off,649
336,Gfive, U707 combo of Two,No Color,0,3.8,0,0,0.0,1000.0,1.8,1.0,999,9% off,1099
337,Kechaoda, K9,No Color,0,4.0,0,0,0.0,1700.0,2.4,1.0,949,0 % off,949
338,Kechaoda, K9,No Color,0,4.0,0,0,0.0,1700.0,2.4,1.0,949,0 % off,949
339,Redmi," Note 6 Pro (Rose Gold, 64 GB)",Rose Gold,64,4.5,116587,10378,6.0,4000.0,6.26,1.0,11999,33% off,17999
340,I, Kall K28 Combo of Two Mobiles,No Color,0,3.4,0,0,0.0,1500.0,2.4,1.0,1199,50% off,2398
341,Swipe," Elite VR (Black/Charcoal Black, 8 GB)",Black/Charcoal Black,8,3.2,0,0,1.0,3000.0,5.5,1.0,5999,0 % off,5999
342,Vivo," V15 Pro (Ruby Red, 128 GB)",Ruby Red,128,4.5,28439,2666,6.0,3700.0,6.39,1.0,19269,40% off,32391
343,Karbonn, K9 Mini,No Color,0,3.8,0,0,0.0,800.0,1.77,1.0,693,30% off,693
344,Karbonn, K9 Mini,No Color,0,3.8,0,0,0.0,800.0,1.77,1.0,699,29% off,699
345,GLX, U505,No Color,0,3.6,0,0,0.0,950.0,1.8,1.0,639,0 % off,639
346,Coolpad," Mega 5C (Gold, 16 GB)",Gold,16,3.5,0,0,2.0,2500.0,5.45,1.0,3799,36% off,5999
347,Nokia," 3.1 Plus (Charcoal, 32 GB)",Charcoal,32,4.2,3612,0,3.0,3500.0,4.025985185185214,1.0,8495,3% off,8795
348,Karbonn, K31,No Color,0,4.0,0,0,0.0,1800.0,2.4,1.0,1050,29% off,1490
349,Huawei," Y9 Prime 2019 (Sapphire Blue, 128 GB)",Sapphire Blue,128,4.3,0,0,4.0,4000.0,6.59,1.0,16899,15% off,19990
350,Karbonn, KX25,No Color,0,4.2,0,0,0.0,1800.0,2.4,1.0,1099,0 % off,1099
351,Detel, D1 MAX,No Color,0,3.7,0,0,0.0,1500.0,2.8,1.0,799,55% off,1799
352,GLX, W22,No Color,0,3.6,0,0,0.0,950.0,1.8,1.0,639,0 % off,639
353,GLX, W22,No Color,0,3.6,0,0,0.0,950.0,1.8,1.0,639,0 % off,639
354,GLX, W22,No Color,0,3.6,0,0,0.0,950.0,1.8,1.0,639,0 % off,639
355,Muphone, M360,No Color,0,0.0,0,0,0.0,800.0,1.44,1.0,899,35% off,1399
356,OPPO," F11 Pro (Waterfall Grey, 128 GB)",Waterfall Grey,128,4.4,111046,10763,6.0,4000.0,6.5,1.0,17990,40% off,29990
